id,name,address,postcode,review count,rating
62,The Drawing Room of Locksbottom,"405 Crofton Rd, Locksbottom, Orpington BR6 8NL, United Kingdom",BR6 8NL,307,4.2
63,Joelle’s of Chislehurst,"37 High St, Chislehurst BR7 5AE, United Kingdom",BR7 5AE,181,4.6
64,Toast and Tomato,"226 High St, Bromley BR1 1PQ, United Kingdom",BR1 1PQ,81,4.8
65,Poached Beckenham,"12a High St, Beckenham BR3 1AZ, United Kingdom",BR3 1AZ,309,4.6
66,Break The Fast London,"7 Bromley Rd, London SE6 2TS, United Kingdom",SE6 2TS,474,4.4
67,Little Tea House,"1152 High Rd, London N20 0RA, United Kingdom",N20 0RA,196,4.6
68,Bread Ahead Bakery Bromley,"The Glades, Bromley BR1 1DN, United Kingdom",BR1 1DN,225,4.7
69,Patisserie Valerie - Bromley,"Unit 45 High St, Bromley BR1 1DD, United Kingdom",BR1 1DD,371,4.7
70,Seda Sandwich Bar and Café,"10a Randlesdown Rd, London SE6 3BT, United Kingdom",SE6 3BT,10,4.5
71,Lazy Chef,"7-8, The Facade, Devonshire Rd, London SE23 3HA, United Kingdom",SE23 3HA,610,4.6
72,The Open Door Centre & Cafe,"St Albans Rd., Barnet EN5 4LA, United Kingdom",EN5 4LA,33,4.9
73,Em’s Kitchen,"42A High St, Beckenham BR3 1AY, United Kingdom",BR3 1AY,603,4.5
74,GAIL's Bakery Bromley,"84 High St, Bromley BR1 1EY, United Kingdom",BR1 1EY,134,3.8
75,The Second Home,"258, 260 High St., Orpington BR6 0NB, United Kingdom",BR6 0NB,158,4.7
76,Mont58 Coffee Hut,"103 Torridon Rd, London SE6 1RQ, United Kingdom",SE6 1RQ,3,0
77,Chaplin’s Café,"171 Widmore Rd, Bromley BR1 1RN, United Kingdom",BR1 1RN,86,4.8
78,Carib Vibe Cafe,"150 High St, London SE20 7EU, United Kingdom",SE20 7EU,1,4.4
79,Elmers End Cafe,"57 Croydon Rd, Elmers End, Beckenham BR3 4AB, United Kingdom",BR3 4AB,24,4.6
80,Feel Good Cafe,"91 Station Rd, West Wickham BR4 0PX, United Kingdom",BR4 0PX,128,4.7
81,Wild Bean Cafe,"133-135 Widmore Rd, Bromley BR1 3AX, United Kingdom",BR1 3AX,0,4.8
82,Wild Bean Cafe,"391 Crofton Rd, Locksbottom, Orpington BR6 8NL, United Kingdom",BR6 8NL,1,4.6
83,Wild Bean Cafe,"Edgington Way, Orpington, Sidcup DA14 5AD, United Kingdom",DA14 5AD,0,5
84,Wild Bean Cafe,"318 Court Rd., Orpington BR6 9DA, United Kingdom",BR6 9DA,1,4.4
85,Cafe Hope,"54 Fairfield Rd, Bromley BR1 3QW, United Kingdom",BR1 3QW,0,4.6
86,Saddles Cafe,"Stable Ln, Sidcup, Bexley DA5 2AW, United Kingdom",,1,4.3
87,Lumina cafe,"216 Portland Rd, London SE25 4QB, United Kingdom",SE25 4QB,0,4.2
88,Wild Bean Cafe,"21 Mottingham Rd, London SE9 4QN, United Kingdom",SE9 4QN,6,4.6
89,Taste-Bud,"39 Chatterton Rd, Bromley BR2 9QW, United Kingdom",BR2 9QW,95,4.7
90,Safari Sport Cafe London,"164A Maple Rd, London SE20 8JB, United Kingdom",SE20 8JB,7,
91,T's Cafe,"Selco Builders Warehouse, Sandy Lane, Sidcup DA14 5AH, United Kingdom",DA14 5AH,5,4.5
92,Cafe Concerto Ltd,"Sidcup Railway Station, Sidcup DA15 7AW, United Kingdom",DA15 7AW,21,4.9
93,Blackbird Bakery,"109 Sydenham Rd, London SE26 5UA, United Kingdom",SE26 5UA,147,4.8
94,Wild Bean Cafe,"Perry St, Station Road, Chislehurst BR7 6HB, United Kingdom",BR7 6HB,1,4.5
95,Blackbird Bakery Penge,"107 High St, London SE20 7DT, United Kingdom",SE20 7DT,37,4.4
96,Crêpeaffaire Bromley,"27-28 Market Square, Bromley BR1 1NA, United Kingdom",BR1 1NA,603,4.2
97,Tony's Cafe & Grill,"197 Southborough Ln, Bickley, Bromley BR2 8AR, United Kingdom",BR2 8AR,52,4.7
98,The Plaza Cafe,"Marlowe House, London, Sidcup DA15 7ES, United Kingdom",DA15 7ES,1,4.9
99,Star Cafe & Sandwich Bar,"216 Portland Rd, London SE25 4QB, United Kingdom",SE25 4QB,77,4.2
100,Arm's Cafe,"160 Bromley Rd, London SE6 2BJ, United Kingdom",SE6 2BJ,9,4.5
101,Chislehurst Caves Cafe,"1 Imperial Pl, Chislehurst BR7 5QX, United Kingdom",BR7 5QX,4,5
102,Cafe at No 1,"1 Stanstead Rd, London SE23 1HG, United Kingdom",SE23 1HG,55,4.3
103,Star Cafe,"13 High St, Sidcup DA14 6EN, United Kingdom",DA14 6EN,193,4.6
104,Horniman Cafe,"100 London Rd, London SE23 3PQ, United Kingdom",SE23 3PQ,513,4.2
105,Filling Station Cafe,"640A Downham Way, Bromley BR1 5HN, United Kingdom",BR1 5HN,102,4.5
106,Henry's Cafe,"100 Randlesdown Rd, London SE6 3BT, United Kingdom",SE6 3BT,4,4.5
107,The Rosie Lee Cafe & Deli,"24 Homesdale Rd, Bromley BR2 9LD, United Kingdom",BR2 9LD,326,4.4
108,Coney's Cafe and Restaurant,"41 Croydon Rd, West Wickham BR4 9HZ, United Kingdom",BR4 9HZ,241,4.7
109,Blackbird Bakery,"165 High St, Beckenham BR3 1AE, United Kingdom",BR3 1AE,87,4.6
110,KV&C - The Coffee Company,"1 Croydon Road London, Kent BR3 4AA, United Kingdom",BR3 4AA,15,4.4
111,Waite & Rose Cafe,"1 Southend Rd, Beckenham BR3 1SD, United Kingdom",BR3 1SD,4,4.3
112,Brown & Green Cafe,"Mayow Park, Sydenham Recreation Ground, London SE26 4JA, United Kingdom",SE26 4JA,316,4.4
113,Monty’s cafe bexley,"17 Montpelier Ave, Bexley DA5 3AP, United Kingdom",DA5 3AP,15,4.6
114,Richard's Cafe,"Unit 1B Marechal Niel Parade, Main Rd, Sidcup DA14 6QF, United Kingdom",DA14 6QF,53,4.2
115,Bubble & Squeak cafe,"384A Baring Rd, London SE12 0EF, United Kingdom",SE12 0EF,108,4.3
116,Q Cafe,"145 Wickham Rd, Croydon CR0 8TE, United Kingdom",CR0 8TE,369,4.6
117,Carlton cafe,"Carlton Parade, Orpington BR6 0JB, United Kingdom",BR6 0JB,48,4.5
118,Cobb's Corner Cafe Caribbean food,"260 Kirkdale, London SE26 4RS, United Kingdom",SE26 4RS,479,4.7
119,Star Cafe,"278 High St., Orpington BR6 0ND, United Kingdom",BR6 0ND,212,4.6
120,Flour & Flower,"88 Verdant Ln, London SE6 1LF, United Kingdom",SE6 1LF,54,0
121,Dilz Restaurant,"11 Sydenham Rd, London SE26 5EX, United Kingdom",SE26 5EX,181,4.5
122,The Mobile Coffee Bean,"4 St Thomas' Dr, Orpington BR5 1HF, United Kingdom",BR5 1HF,66,5
123,Cafe Giardino - Bromley,"The Glades, Bromley BR1 1DN, United Kingdom",BR1 1DN,968,4.2
124,Sal’s Cafe,"65-67 Maidstone Rd, Foots Cray, Sidcup DA14 5HB, United Kingdom",DA14 5HB,264,4.6
125,Mega Cafe,"78 Elmers End Rd, London SE20 7UX, United Kingdom",SE20 7UX,290,4.4
126,Wrattens Cafe,"51 High St, Chislehurst BR7, United Kingdom",BR7,11,4.7
127,Crofton Cafe & Bakery,"90 Crofton Ln, Orpington BR5 1HD, United Kingdom",BR5 1HD,85,4.9
128,Perfect Cafe,"11 Beaconsfield Rd, London SE9 4EA, United Kingdom",SE9 4EA,115,4.7
129,Sunrise Cafe,"115 Croydon Rd, Elmers End, Beckenham BR3 3RA, United Kingdom",BR3 3RA,259,4.6
130,Cafe Pie & Mash,"139 Hastings Rd, Bromley BR2 8NQ, United Kingdom",BR2 8NQ,164,4.7
131,A Little Cafe @ The Ringway,"Grove Park Community Group, 268 Baring Rd, London SE12 0DS, United Kingdom",SE12 0DS,9,
132,Village Cafe,"59 High St, Orpington BR5 3NJ, United Kingdom",BR5 3NJ,107,4.7
133,Sal's Cafe,"303 Upper Elmers End Rd, Beckenham BR3 3QP, United Kingdom",BR3 3QP,236,4.4
134,Beril's Cafe,"9 Stanley Way, Orpington BR5 2HE, United Kingdom",BR5 2HE,115,4.4
135,Sandhurst Cafe,"4 Sandhurst Rd, London SE6 1DH, United Kingdom",SE6 1DH,105,4.8
136,The Moustache,"99 Kirkdale, London SE26 4BL, United Kingdom",SE26 4BL,143,4.4
137,Garden Cafe & Restaurant,"108-110 High St, London SE20 7EZ, United Kingdom",SE20 7EZ,145,4.2
138,Coffee Mill & Kitchen,"58 Bexley High St, Bexley DA5 1AH, United Kingdom",,207,4.6
139,Shirley Cafe,"219 Wickham Rd, Croydon CR0 8TG, United Kingdom",CR0 8TG,316,4.4
140,Hardedge Cafe,"113 High St, London SE20 7DT, United Kingdom",SE20 7DT,66,5
141,Tudor Rose Cafe,"11, Central Parade, High St, London SE20 7TN, United Kingdom",SE20 7TN,125,4.2
142,Omega Cafe,"88 Croydon Rd, West Wickham BR4 9HY, United Kingdom",BR4 9HY,373,4.5
143,Master Cafe,"746 Sidcup Rd, London SE9 3NS, United Kingdom",SE9 3NS,19,4.5
144,Brown & Green Life,"Crystal Palace Park, Thicket Rd, London SE20 8DS, United Kingdom",SE20 8DS,1030,4.2
145,Tulip Cafe,"8 Station Parade, Sidcup DA15 7DB, United Kingdom",DA15 7DB,179,4.9
146,Eddie's Cafe,"74 Shirley Rd, Croydon CR0 7EP, United Kingdom",CR0 7EP,230,4.6
147,Raffy’s Play Cafe,"430 Upper Elmers End Rd, Beckenham BR3 3HQ, United Kingdom",BR3 3HQ,37,4.8
148,Café Mound,"Coldharbour Estate, London SE9 3AZ, United Kingdom",SE9 3AZ,163,4.5
149,Corzâ Cafe Bar Restaurant,"111, 113 High St, West Wickham BR4 0LT, United Kingdom",BR4 0LT,598,4.6
150,Mem’s Cafe,"39 Mottingham Rd, London SE9 4QZ, United Kingdom",SE9 4QZ,152,4.7
151,Munchies Cafe,"89 Mottingham Rd, London SE9 4TJ, United Kingdom",SE9 4TJ,271,4.6
152,Broadway Cafe,"12 Catford Broadway, London SE6 4SP, United Kingdom",SE6 4SP,172,4.4
153,Ruby Cafe,"40 Hayes St, Bromley BR2 7LD, United Kingdom",BR2 7LD,173,4.6
154,Oval cafe,"13 The Oval, Sidcup DA15 9ER, United Kingdom",DA15 9ER,357,4.1
155,The Mansion Bar & Café,"The Mansion, Beckenham Pl Park, Beckenham BR3 1SY, United Kingdom",BR3 1SY,64,4.5
156,Swell Cafe,"162 High St., Orpington BR6 0JR, United Kingdom",BR6 0JR,101,4.7
157,Grounded,"8 Station Approach, Hayes, Bromley BR2 7EH, United Kingdom",BR2 7EH,48,4.4
158,Walnuts Cafe Restaurant,"107 Main Rd, Sidcup DA14 6ND, United Kingdom",DA14 6ND,948,4.5
159,Kynd London Cafe,"44B Newlands Park, London SE26 5NF, United Kingdom",SE26 5NF,104,4.8
160,Coco's Café & Espresso Bar,"T H Collison Opticians, 29 Court Yard, London SE9 5PR, United Kingdom",SE9 5PR,165,4.5
161,Mont58 Coffee,"134 Kirkdale, London SE26 4BB, United Kingdom",SE26 4BB,226,4.8
162,Chai,"87 Burnt Ash Ln, Bromley BR1 5AA, United Kingdom",BR1 5AA,96,4.2
163,Village Cafe,"70 Bexley High St, Bexley DA5 1AJ, United Kingdom",DA5 1AJ,129,4.6
164,Parade Cafe,"Carlton Parade, 12 Carlton Parade, Orpington BR6 0JB, United Kingdom",BR6 0JB,226,4.3
165,Ince's Cafe,"9 Wastdale Rd, London SE23 1HN, United Kingdom",SE23 1HN,87,4.7
166,Tiya’s Cafe,"269 Croydon Rd, Beckenham BR3 3PS, United Kingdom",BR3 3PS,218,4.5
167,The Convivial cafe,"90 Sydenham Rd, London SE26 5JX, United Kingdom",SE26 5JX,97,4.7
168,Walnuts Cafe Petts Wood,"182 Petts Wood Rd, Petts Wood, Orpington BR5 1LG, United Kingdom",BR5 1LG,300,4.3
169,The Journey Cafe Ltd,"110 Kirkdale, London SE26 4BG, United Kingdom",SE26 4BG,207,4.8
170,Wickham Cafe,"138 High St, West Wickham BR4 0LZ, United Kingdom",BR4 0LZ,522,4.6
171,Buddy's Cafe,"28 London Rd, Bromley BR1 3QR, United Kingdom",BR1 3QR,246,4.6
172,Cafe Hayes,"48 Station Approach, Hayes, Bromley BR2 7EJ, United Kingdom",BR2 7EJ,132,4.6
173,Megabreakfast Cafe Bromley,"444 Bromley Rd, Bromley BR1 4PH, United Kingdom",BR1 4PH,169,4.6
174,"Leo Vegan & Vegetarian Cafe (Live Music, Coffee, Breakfast, Co work space, Sydenham)","24 Sydenham Rd, London SE26 5QW, United Kingdom",SE26 5QW,57,4.7
175,Old Village Cafe,"56 Hayes St, Bromley BR2 7LD, United Kingdom",BR2 7LD,240,4.4
176,Bridge Cafe,"114 Beckenham Ln, Bromley BR2 0DW, United Kingdom",BR2 0DW,148,4.5
177,Cafe Treat Bromley,"461 Bromley Rd, Bromley BR1 4PH, United Kingdom",BR1 4PH,142,4.5
178,Bromley hill cafe,"8 Bromley Hill, Bromley BR1 4JX, United Kingdom",BR1 4JX,1,
179,Waite & Rose Café,"45 Masons Hill, Bromley BR2 9HD, United Kingdom",BR2 9HD,323,5
180,Valmar Cafe,"152 Maple Rd, London SE20 8JB, United Kingdom",,0,
181,Caffe Tea Tree SL,"234 High St., Orpington BR6 0LS, United Kingdom",BR6 0LS,286,4.5
182,1917 chill cafe,"19 Widmore Rd, Bromley BR1 1RL, United Kingdom",BR1 1RL,393,4.6
183,Kelsey Park Cafe,"Wickham Rd, Beckenham BR3 6QH, United Kingdom",BR3 6QH,659,4.6
184,Cafe Lokum,"Cafe Lokum, 52 Baring Rd, London SE12 0PS, United Kingdom",SE12 0PS,257,4.8
185,The Grind Café,"8 Red Lodge Rd, West Wickham BR4 0EL, United Kingdom",BR4 0EL,215,4.6
186,HalfWay Cafe,"176 Halfway St, Sidcup DA15 8DJ, United Kingdom",DA15 8DJ,128,4.4
187,The Chestnut,"25 High St, Chislehurst BR7 5AE, United Kingdom",BR7 5AE,370,4.5
188,Lopeto café,"High Street, Carlton Parade, Orpington BR6 0JD, United Kingdom",BR6 0JD,103,4.5
189,Caffe Cinos,"5 Old Bromley Rd, Bromley BR1 4LB, United Kingdom",BR1 4LB,190,4.6
190,Del's Cafe,"29 Eldred Dr, Orpington BR5 4PE, United Kingdom",BR5 4PE,106,4.5
191,Sema's,"St Georges Parade, Perry Hill, London SE6 4DT, United Kingdom",SE6 4DT,256,4.6
192,The Homestead Cafe,"Place Park, Beckenham BR3 1SY, United Kingdom",BR3 1SY,771,3.9
193,Butterfly Cafe,"Main Rd, Orpington BR5 3HG, United Kingdom",,60,4.7
194,Catch.,"22 High St, Sidcup DA14 6EH, United Kingdom",DA14 6EH,126,4.7
195,the Orpington Café & Record Store,"161 High St., Orpington BR6 0LW, United Kingdom",BR6 0LW,526,4.7
196,Rendezvous Caffe,"94 High St, Beckenham BR3 1ED, United Kingdom",BR3 1ED,629,4.5
197,Greys Tea And Coffee House,"34 Bexley High St, Bexley DA5 1AH, United Kingdom",DA5 1AH,125,4.6
198,Cafe,"7-8, The Facade, Devonshire Rd, London SE23 3HA, United Kingdom",SE23 3HA,23,4.7
199,The Chunky Teapot,"167 Station Rd, Sidcup DA15 7AA, United Kingdom",DA15 7AA,148,4.2
200,Walnuts Cafe Chislehurst,"7 Royal Parade, Chislehurst BR7 6NR, United Kingdom",BR7 6NR,431,4.6
201,The Brunch Suite,"143 Station Rd, Edgware HA8 7JS, United Kingdom",HA8 7JS,154,4.3
202,The Monocle Café,"18 Chiltern St, London W1U 7QA, United Kingdom",W1U 7QA,1916,4.7
203,Cali Cafe - Westminster,"Constance Court, 39 Church St, London NW8 8ES, United Kingdom",NW8 8ES,150,4.6
204,Pistachios in the Park Cafe - East Greenwich Pleasaunce,"Chevening Rd, London SE10 0LB, United Kingdom",SE10 0LB,286,4.3
205,Coffee First,"227 Southborough Ln, Bickley, Bromley BR2 8AT, United Kingdom",BR2 8AT,6,
206,Pride of Venice,"27 High St, London SE20 7HJ, United Kingdom",SE20 7HJ,89,5
207,BB & Friends,"27 Dartmouth Rd, London SE23 3HN, United Kingdom",SE23 3HN,293,4.7
208,Truffles Bromley,"125 Westmoreland Rd, Bromley BR2 0TY, United Kingdom",BR2 0TY,267,4.3
209,The Kitchen,"57 High St, Sidcup DA14 6ED, United Kingdom",DA14 6ED,202,4.4
210,Photobook Cafe,"4 Leonard Circus, London EC2A 4DQ, United Kingdom",EC2A 4DQ,133,4.3
211,Mortimers Cafe,"26 Mortimer St, London W1W 7RB, United Kingdom",W1W 7RB,160,4.4
212,Olive Tree,"21 High St, Bromley BR1 1LG, United Kingdom",BR1 1LG,561,4.8
213,Blend Juice+Coffee Bar,"101B Kensington Church St, London W8 7LN, United Kingdom",W8 7LN,182,4.9
214,Café Le Cordon Bleu,"Pied Bull Yard, 15 Bloomsbury Square, London WC1A 2LS, United Kingdom",WC1A 2LS,226,4.9
215,Mustard Cafe,"40 Margaret St, London W1G 0JH, United Kingdom",W1G 0JH,84,
216,The Lodge Café,"1 London, Hyde Park Corner, London W1J 7NT, United Kingdom",W1J 7NT,1007,3.4
217,Roses Cafe London,"125 Jamaica Rd, London SE16 4SH, United Kingdom",SE16 4SH,155,4.5
218,Core Cafe,"49 Clifton St, London EC2A 4EX, United Kingdom",EC2A 4EX,74,4.4
219,Undercroft Cafe,"College Way, London SE10 9NN, United Kingdom",SE10 9NN,89,4.4
220,The Pavilion Cafe,"Charlton Way, London SE10 8QY, United Kingdom",SE10 8QY,940,4.6
221,The Footstool Cafe,"St John’s, Smith Square, London SW1P 3HA, United Kingdom",SW1P 3HA,85,4
222,Ruskin's Cafe,"41 Museum St, London WC1A 1LU, United Kingdom",WC1A 1LU,506,4.6
223,Cafe Carmen,"County Hall, The Queen's Walk, London SE1 7PB, United Kingdom",SE1 7PB,165,4.4
224,The Gallery Coffee Shop,"309 Regent St., London W1B 2HW, United Kingdom",W1B 2HW,16,4.8
225,sly-tone Café,"Goldsmiths CCA, St James's, London SE14 6AD, United Kingdom",SE14 6AD,14,4.5
226,The Broadwalk Cafe,"Black Lion Gate, Broad Walk, London W2 4RU, United Kingdom",W2 4RU,215,4.2
227,Chelsea Cafe,"23 John Islip St, London SW1P 4ED, United Kingdom",SW1P 4ED,11,3
228,"Tachbrook Bakery, Patisserie & Coffee Shop.","101 Tachbrook St, Lillington and Longmoore Gardens, London SW1V 2QA, United Kingdom",SW1V 2QA,208,4.3
229,Crossways Cafe London,"93 Evelina Rd, London SE15 3HL, United Kingdom",SE15 3HL,328,4.6
230,Ole & Steen,"Unit 3, Nova South, 1 Sir Simon Milton Sq, London SW1E 5DJ, United Kingdom",SW1E 5DJ,1237,4.5
231,Sarava Creperie Bar & Cafe,"41-42, Market, Brixton Village, Coldharbour Ln, London SW9 8PS, United Kingdom",SW9 8PS,802,4.2
232,Boxcar Baker & Deli,"7A Wyndham Pl, London W1H 1PN, United Kingdom",W1H 1PN,1013,4.2
233,Cafe Portico,"London SW3 6NH, United Kingdom",SW3 6NH,42,3.7
234,Cafe L'Express,"6 Bourdon St, London W1K 3PA, United Kingdom",W1K 3PA,101,4.7
235,Mr G's Cafe,"222 Mile End Rd, Stepney Green, London E1 4LJ, United Kingdom",E1 4LJ,108,4.4
236,Colicci Serpentine Coffee House,"Hyde Park, London W2 2UH, United Kingdom",W2 2UH,284,3.9
237,Cafe On The Square,"London WC2N 5DU, United Kingdom",WC2N 5DU,19,3.8
238,The Cat & Cucumber Cafe,"182 Tower Bridge Rd, London SE1 2AD, United Kingdom",SE1 2AD,320,4.7
239,M&S Cafe,"458 Oxford St, London W1C 1AP, United Kingdom",W1C 1AP,77,2.7
240,John Lewis Cafe Bar,"300 Oxford St, London W1C 1DX, United Kingdom",W1C 1DX,116,4
241,Ole & Steen,"Unit 8, 67-69 Charing Cross Rd, London WC2H 0AN, United Kingdom",WC2H 0AN,1863,4.8
242,Shakespeare globe Foyer Cafe,"21 New Globe Walk, London SE1 9DT, United Kingdom",SE1 9DT,14,4.4
243,Grand Junction Cafe,"Rowington Cl, London W2 5TF, United Kingdom",W2 5TF,39,4.7
244,Cafe Nouvelle,"69 Abingdon Rd, London W8 6AW, United Kingdom",W8 6AW,189,4.3
245,Sun Cafe,"63A Goswell Rd., London EC1V 7EN, United Kingdom",EC1V 7EN,82,4.6
246,Kings Cafe,"Unit D, Worsley Bridge Rd SE26 5BE, United Kingdom",SE26 5BE,93,4.1
247,Kaffeine,"66 Great Titchfield St., London W1W 7QJ, United Kingdom",W1W 7QJ,2145,4.7
